id,titre,type_de_produit,poid_total_du_bijoux,pierre_principale,forme_pierre_principale,couleur_pierre_principale,carat_pierre_principale,nombre_de_pierres,nom_pierre_d_ornements,couleur_pierre_d_ornements,caratage_pierre_d_ornement,prix,description,en_ligne
116,Bague rubis - Léa ,Bague,"14,3",Rubis,Rond,Rouge,"0,8",,Diamant,Blanc,"2,7",6300,,TRUE
117,Bague diamant - Tess,Bague,"15,3",Diamant,Baguette,Blanc,"1,7",,Diamant,Blanc,"1,25",8600,,TRUE
118,Bague Tourmaline - Zoé,Bague,"6,3",Tourmaline,Ovale,Rose,"3,8",6,Diamant,Blanc,"0,5",3950,,TRUE
119,Bague éméraude - Nina,Bague,"5,9",Émeraude,Carré,Vert,"3,8",32,Diamant,Blanc,"1,65",5150,,TRUE
120,Bague émeraude - Clio,Bague,"3,48",Émeraude,Carré,Vert,"2,6",2,Diamant,Blanc,"0,3",3100,,TRUE
121,Bague émeraude - Amy,Bague,"2,8",Émeraude,Baguette,Vert,"0,55",9,,,,2950,,TRUE
122,Bague Diamant - Sierra,Bague,"3,1",Diamant,Rond,Blanc,"0,5",32,Diamant,Blanc,"0,4",3800,,TRUE
123,Bague diamant - Jade,Bague,"3,1",Émeraude,Rond,Vert,"0,8",,Diamant,Blanc,"0,28",2100,,TRUE
124,Bague Rubis - Isa,Bague,"3,6",Rubis,Baguette,Rouge,"0,6",16,Diamant,Blanc,"1,15",2950,,TRUE
125,Bague Rubis - Alba,Bague,"3,6",Rubis,Baguette,Rouge,"2,6",,Diamant,Blanc,"0,95",2650,,TRUE
126,Bague spessartite - Maelle,Bague,"3,6",Diamant,Baguette,Blanc,"2,95",,Diamant,Blanc,"0,2",3150,,TRUE
127,Bague Quartz - Céline,Bague,"5,3",Quartz,Carré,Rose,"6,7",,Diamant,Blanc,"0,8",3950,,TRUE
128,Bague améthyste - Isis,Bague,"12,1",Améthyste,,Violet,"11,6","11,6",,,,3950,,TRUE
129,Bague améthyste - Lyvia,Bague,"3,8",Améthyste,Rond,Violet,"0,6",,"Diamant, Quartz",Blanc,"0,60 - 0,26 ",2980,,TRUE
130,Bague Saphir - Solène,Bague,"3,8",Saphir,Rond,Bleu,"0,8",,Diamant,Blanc,"0,8",3400,,TRUE
131,Bague saphir - Iris,Bague,"17,1",Saphir,Rond,Bleu,"2,95",,Diamant,Blanc,"1,7",9100,,TRUE
132,Bague topaze - Melina,Bague,"5,7",Topaze,Rond,Bleu,"5,8",,Diamant,Blanc,"0,8",4100,,TRUE
133,Bague Citrine - Nais,Bague,"12,15",Citrine,Rond,Jaune,"21,15",,Diamant,Blanc,"0,9",5800,,TRUE
